Interface,XSI,POSIX Base,U98,U95,P96 P92,C99,C89,SVID3,BSD,LSB 1.3,OpenVMS 7.3-2
getuid(),m,m,m,m,m,.,.,m,m,libc,m
getutent(),.,.,.,.,.,.,.,.,.,libc,.
getutent_r(),.,.,.,.,.,.,.,.,.,libc,.
getutxent(),m,xsi,m,m,.,.,.,.,.,libc,.
getutxid(),m,xsi,m,m,.,.,.,.,.,libc,.
getutxline(),m,xsi,m,m,.,.,.,.,.,libc,.
getwchar(),m,m,m,m,.,m,1,.,.,libc,m
getwc(),m,m,m,m,.,m,1,.,.,libc,m
getwd(),l,xsi,m,m,.,.,.,.,m,libc,.
getw(),.,.,.,.,.,.,.,.,.,libc,.
glob64(),.,.,.,.,.,.,.,.,.,libc,.
globfree64(),.,.,.,.,.,.,.,.,.,libc,.
globfree(),m,m,m,o,m,.,.,.,.,libc,.
glob(),m,m,m,o,m,.,.,.,.,libc,.
gmtime(),m,m,m,m,m,m,m,m,m,libc,m
gmtime_r(),m,tsf,m,.,t,.,.,.,.,libc,m
grantpt(),m,xsi,m,m,.,.,.,m,.,libc,.
hcreate(),m,xsi,m,m,.,.,.,m,.,libc,.
hdestroy(),m,xsi,m,m,.,.,.,m,.,libc,.
__h_errno_location(),.,.,.,.,.,.,.,.,.,libc,.
h_errno,ob,ob,.,.,.,.,.,.,.,.,m
hsearch(),m,xsi,m,m,.,.,.,m,.,libc,.
htonl(),m,m,m,m,.,.,.,.,m,libc,m
htons(),m,m,m,m,.,.,.,.,m,libc,m
hypotf(),m,m,.,.,.,m,.,.,.,libm,alpha
hypotl(),m,m,.,.,.,m,.,.,.,libm,alpha
hypot(),m,m,m,m,.,m,.,m,m,libm,m
iconv_close(),m,xsi,m,m,.,.,.,.,.,libc,m
iconv(),m,xsi,m,m,.,.,.,.,.,libc,m
iconv_open(),m,xsi,m,m,.,.,.,.,.,libc,m
if_freenameindex(),m,m,.,.,.,.,.,.,.,.,m
if_indextoname(),m,m,.,.,.,.,.,.,.,.,m
if_nameindex(),m,m,.,.,.,.,.,.,.,.,m
if_nametoindex(),m,m,.,.,.,.,.,.,.,.,m
ilogbf(),m,m,.,.,.,m,.,.,.,libm,alpha
ilogbl(),m,m,.,.,.,m,.,.,.,libm,alpha
ilogb(),m,m,m,m,.,m,.,.,.,libm,alpha
imaxabs(),m,m,.,.,.,m,.,.,.,libc,.
imaxdiv(),m,m,.,.,.,m,.,.,.,libc,.
index(),l,xsi,m,m,.,.,.,.,m,libc,m
inet_addr(),m,m,m,m,.,.,.,.,m,libc,m
inet_aton(),.,.,.,.,.,.,.,.,.,libc,.
inet_ntoa(),m,m,m,m,.,.,.,.,m,libc,m
inet_ntop(),m,m,.,.,.,.,.,.,.,libc,m
inet_pton(),m,m,.,.,.,.,.,.,.,libc,m
initgroups(),.,.,.,.,.,.,.,.,.,libc,.
initstate(),m,xsi,m,m,.,.,.,.,m,libc,m
insque(),m,xsi,m,m,.,.,.,.,m,libc,.
ioctl(),o,xsr,m,m,.,.,.,m,m,libc,m
_IO_feof(),.,.,.,.,.,.,.,.,.,libc,.
_IO_getc(),.,.,.,.,.,.,.,.,.,libc,.
_IO_putc(),.,.,.,.,.,.,.,.,.,libc,.
_IO_puts(),.,.,.,.,.,.,.,.,.,libc,.
isalnum(),m,m,m,m,m,m,m,m,m,libc,m
isalpha(),m,m,m,m,m,m,m,m,m,libc,m
isascii(),m,xsi,m,m,.,.,.,m,m,libc,m
isastream(),o,xsr,m,m,.,.,.,m,.,.,.
isatty(),m,m,m,m,m,.,.,m,m,libc,m
isblank(),m,m,.,.,.,m,.,.,.,libc,.
iscntrl(),m,m,m,m,m,m,m,m,m,libc,m
isdigit(),m,m,m,m,m,m,m,m,m,libc,m
isfinite(),m,m,.,.,.,m,.,.,.,.,.
isgraph(),m,m,m,m,m,m,m,m,m,libc,m
isgreaterequal(),m,m,.,.,.,m,.,.,.,.,.
isgreater(),m,m,.,.,.,m,.,.,.,.,.
__isinff(),.,.,.,.,.,.,.,.,.,libc,.
isinff(),.,.,.,.,.,.,.,.,.,libc,.
__isinf(),.,.,.,.,.,.,.,.,.,libc,.
__isinfl(),.,.,.,.,.,.,.,.,.,libc,.
isinfl(),.,.,.,.,.,.,.,.,.,libc,.
isinf(),m,m,.,.,.,m,.,.,.,libc,.
islessequal(),m,m,.,.,.,m,.,.,.,.,.
islessgreater(),m,m,.,.,.,m,.,.,.,.,.
isless(),m,m,.,.,.,m,.,.,.,.,.
islower(),m,m,m,m,m,m,m,m,m,libc,m
__isnanf(),.,.,.,.,.,.,.,.,.,libc,.
isnanf(),.,.,.,.,.,.,.,.,.,libc,.
__isnan(),.,.,.,.,.,.,.,.,.,libc,.
__isnanl(),.,.,.,.,.,.,.,.,.,libc,.
isnanl(),.,.,.,.,.,.,.,.,.,libc,.
isnan(),m,m,m,m,.,.,.,m,.,libc,alpha
isnormal(),m,m,.,.,.,m,.,.,.,.,m
isprint(),m,m,m,m,m,m,m,m,m,libc,m
ispunct(),m,m,m,m,m,m,m,m,m,libc,m
isspace(),m,m,m,m,m,m,m,m,m,libc,m
isunordered(),m,m,.,.,.,m,.,.,.,.,.
isupper(),m,m,m,m,m,m,m,m,m,libc,m
iswalnum(),m,m,m,m,.,m,1,.,.,libc,m
iswalpha(),m,m,m,m,.,m,1,.,.,libc,m
iswblank(),m,m,.,.,.,m,.,.,.,libc,.
iswcntrl(),m,m,m,m,.,m,1,.,.,libc,m
iswctype(),m,m,m,m,.,m,1,.,.,libc,m
iswdigit(),m,m,m,m,.,m,1,.,.,libc,m
iswgraph(),m,m,m,m,.,m,1,.,.,libc,m
iswlower(),m,m,m,m,.,m,1,.,.,libc,m
iswprint(),m,m,m,m,.,m,1,.,.,libc,m
iswpunct(),m,m,m,m,.,m,1,.,.,libc,m
iswspace(),m,m,m,m,.,m,1,.,.,libc,m
iswupper(),m,m,m,m,.,m,1,.,.,libc,m
iswxdigit(),m,m,m,m,.,m,1,.,.,libc,m
isxdigit(),m,m,m,m,m,m,m,m,m,libc,m
j0f(),.,.,.,.,.,.,.,.,.,libm,.
j0l(),.,.,.,.,.,.,.,.,.,libm,.
j0(),m,xsi,m,m,.,.,.,m,m,libm,alpha
j1f(),.,.,.,.,.,.,.,.,.,libm,.
j1l(),.,.,.,.,.,.,.,.,.,libm,.
j1(),m,xsi,m,m,.,.,.,m,m,libm,alpha
jnf(),.,.,.,.,.,.,.,.,.,libm,.
jnl(),.,.,.,.,.,.,.,.,.,libm,.
jn(),m,xsi,m,m,.,.,.,m,m,libm,alpha
jrand48(),m,xsi,m,m,.,.,.,m,.,libc,m
key_decryptsession(),.,.,.,.,.,.,.,.,.,libc,.
kill(),m,m,m,m,m,.,.,m,m,libc,m
killpg(),m,xsi,m,m,.,.,.,.,m,libc,.
l64a(),m,xsi,m,m,.,.,.,m,.,libc,alpha
labs(),m,m,m,m,.,m,m,m,.,libc,m
lchown(),m,xsi,m,m,.,.,.,m,.,libc,.
lcong48(),m,xsi,m,m,.,.,.,m,.,libc,m
ldexpf(),m,m,.,.,.,m,.,.,.,libm,alpha
ldexpl(),m,m,.,.,.,m,.,.,.,libm,alpha
ldexp(),m,m,m,m,m,m,m,m,m,libm,m
ldiv(),m,m,m,m,.,m,m,m,.,libc,m
lfind(),m,xsi,m,m,.,.,.,m,.,libc,.
lgammaf(),m,m,.,.,.,m,.,.,.,libm,alpha
lgammaf_r(),.,.,.,.,.,.,.,.,.,libm,.
lgammal(),m,m,.,.,.,m,.,.,.,libm,alpha
lgammal_r(),.,.,.,.,.,.,.,.,.,libm,.
lgamma(),m,m,m,m,.,m,.,m,m,libm,alpha
lgamma_r(),.,.,.,.,.,.,.,.,.,libm,.
__libc_current_sigrtmax(),.,.,.,.,.,.,.,.,.,libc,.
__libc_current_sigrtmin(),.,.,.,.,.,.,.,.,.,libc,.
__libc_start_main(),.,.,.,.,.,.,.,.,.,libc,.
link(),m,m,m,m,m,.,.,m,m,libc,m
lio_listio(),o,aio,o,.,r,.,.,.,.,.,.
listen(),m,m,m,m,.,.,.,.,m,libc,.
llabs(),m,m,.,.,.,m,.,.,.,libc,.
lldiv(),m,m,.,.,.,m,.,.,.,libc,.
llrintf(),m,m,.,.,.,m,.,.,.,libm,.
llrintl(),m,m,.,.,.,m,.,.,.,libm,.
llrint(),m,m,.,.,.,m,.,.,.,libm,.
llroundf(),m,m,.,.,.,m,.,.,.,libm,.
llroundl(),m,m,.,.,.,m,.,.,.,libm,.
llround(),m,m,.,.,.,m,.,.,.,libm,.
loc1,.,.,.,.,.,.,.,.,.,libc,.
loc2,.,.,.,.,.,.,.,.,.,libc,.
localeconv(),m,m,m,m,.,m,m,m,.,libc,m
localtime(),m,m,m,m,m,m,m,m,m,libc,m
localtime_r(),m,tsf,m,.,t,.,.,.,.,libc,m
lockf64(),.,.,.,.,.,.,.,.,.,libc,.
lockf(),m,xsi,m,m,.,.,.,m,.,libc,.
locs,.,.,.,.,.,.,.,.,.,libc,.
log10f(),m,m,.,.,.,m,.,.,.,libm,alpha
log10l(),m,m,.,.,.,m,.,.,.,libm,alpha
log10(),m,m,m,m,m,m,m,m,m,libm,m
log1pf(),m,m,.,.,.,m,.,.,.,.,alpha
log1pl(),m,m,.,.,.,m,.,.,.,.,alpha
log1p(),m,m,m,m,.,m,.,.,m,libm,alpha
log2f(),m,m,.,.,.,m,.,.,.,.,alpha
log2l(),m,m,.,.,.,m,.,.,.,.,alpha
log2(),m,m,.,.,.,m,.,.,.,.,alpha
logbf(),m,m,.,.,.,m,.,.,.,.,alpha
logbl(),m,m,.,.,.,m,.,.,.,.,alpha
logb(),m,m,m,m,.,m,.,m,m,libm,alpha
logf(),m,m,.,.,.,m,.,.,.,libm,alpha
logl(),m,m,.,.,.,m,.,.,.,libm,alpha
log(),m,m,m,m,m,m,m,m,m,libm,m
longjmp(),m,m,m,m,m,m,m,m,m,libc,m
_longjmp(),m,xsi,m,m,.,.,.,.,m,libc,.
lrand48(),m,xsi,m,m,.,.,.,m,.,libc,m
lrintf(),m,m,.,.,.,m,.,.,.,libm,.
lrintl(),m,m,.,.,.,m,.,.,.,libm,.
lrint(),m,m,.,.,.,m,.,.,.,libm,.
lroundf(),m,m,.,.,.,m,.,.,.,libm,.
lroundl(),m,m,.,.,.,m,.,.,.,libm,.
lround(),m,m,.,.,.,m,.,.,.,libm,.
lsearch(),m,xsi,m,m,.,.,.,m,.,libc,.
lseek64(),.,.,.,.,.,.,.,.,.,libc,.
lseek(),m,m,m,m,m,.,.,m,m,libc,m
lstat(),m,m,m,m,.,.,.,m,m,.,.
__lxstat64(),.,.,.,.,.,.,.,.,.,libc,.
__lxstat(),.,.,.,.,.,.,.,.,.,libc,.
makecontext(),m,xsi,m,m,.,.,.,.,.,libc,.
malloc(),m,m,m,m,m,m,m,m,m,libc,m
matherr(),.,.,.,.,.,.,.,.,.,libm,.
mblen(),m,m,m,m,.,m,m,m,.,libc,m
mbrlen(),m,m,m,.,.,m,1,.,.,libc,m
mbrtowc(),m,m,m,.,.,m,1,.,.,libc,m
mbsinit(),m,m,m,.,.,m,1,.,.,libc,m
mbsnrtowcs(),.,.,.,.,.,.,.,.,.,libc,.
mbsrtowcs(),m,m,m,.,.,m,1,.,.,libc,m
mbstowcs(),m,m,m,m,.,m,m,m,.,libc,m
mbtowc(),m,m,m,m,.,m,m,m,.,libc,m
memccpy(),m,xsi,m,m,.,.,.,m,.,libc,m
memchr(),m,m,m,m,.,m,m,m,.,libc,m
memcmp(),m,m,m,m,.,m,m,m,.,libc,m
memcpy(),m,m,m,m,.,m,m,m,.,libc,m
memmem(),.,.,.,.,.,.,.,.,.,libc,.
memmove(),m,m,m,m,.,m,m,m,.,libc,m
__mempcpy(),.,.,.,.,.,.,.,.,.,libc,.
memrchr(),.,.,.,.,.,.,.,.,.,libc,.
memset(),m,m,m,m,.,m,m,m,.,libc,m
mkdir(),m,m,m,m,m,.,.,m,m,libc,m
mkfifo(),m,m,m,m,m,.,.,m,.,libc,.
mknod(),m,xsi,m,m,.,.,.,m,m,.,.
mkstemp64(),.,.,.,.,.,.,.,.,.,libc,.
mkstemp(),m,xsi,m,m,.,.,.,.,m,libc,m
mktemp(),l,xsi,m,m,.,.,.,m,m,libc,m
mktime(),m,m,m,m,m,m,m,m,.,libc,m
mlockall(),o,ml,o,.,r,.,.,.,.,libc,.
mlock(),o,mr,o,.,r,.,.,.,.,libc,.
mmap64(),.,.,.,.,.,.,.,.,.,libc,.
mmap(),m,mf|shm|tym,m,m,.,.,.,m,.,libc,m
modff(),m,m,.,.,.,m,.,.,.,libm,alpha
modfl(),m,m,.,.,.,m,.,.,.,libm,alpha
modf(),m,m,m,m,m,m,m,m,m,libm,m
mprotect(),m,mpr,m,m,.,.,.,m,.,libc,m
mq_close(),o,msg,o,.,r,.,.,.,.,.,.
mq_getattr(),o,msg,o,.,r,.,.,.,.,.,.
mq_notify(),o,msg,o,.,r,.,.,.,.,.,.
mq_open(),o,msg,o,.,r,.,.,.,.,.,.
mq_receive(),o,msg,o,.,r,.,.,.,.,.,.
mq_send(),o,msg,o,.,r,.,.,.,.,.,.
mq_setattr(),o,msg,o,.,r,.,.,.,.,.,.
mq_timedreceive(),o,msg,.,.,.,.,.,.,.,.,.
mq_timedsend(),o,msg,.,.,.,.,.,.,.,.,.
mq_unlink(),o,msg,o,.,r,.,.,.,.,.,.
mrand48(),m,xsi,m,m,.,.,.,m,.,libc,m
msgctl(),m,xsi,m,m,.,.,.,m,.,libc,.
msgget(),m,xsi,m,m,.,.,.,m,.,libc,.
msgrcv(),m,xsi,m,m,.,.,.,m,.,libc,.
msgsnd(),m,xsi,m,m,.,.,.,m,.,libc,.
msync(),m,mf sio,m,m,.,.,.,m,.,libc,m
munlockall(),o,ml,o,.,r,.,.,.,.,libc,.
munlock(),o,mr,o,.,r,.,.,.,.,libc,.
munmap(),m,mf|shm|tym,m,m,.,.,.,m,.,libc,m
nanf(),m,m,.,.,.,m,.,.,.,libm,.
nanl(),m,m,.,.,.,m,.,.,.,libm,.
nan(),m,m,.,.,.,m,.,.,.,libm,.
nanosleep(),o,tmr,o,.,r,.,.,.,.,libc,alpha
nearbyintf(),m,m,.,.,.,m,.,.,.,libm,.
nearbyintl(),m,m,.,.,.,m,.,.,.,libm,.
nearbyint(),m,m,.,.,.,m,.,.,.,libm,.
nextafterf(),m,m,.,.,.,m,.,.,.,libm,alpha
nextafterl(),m,m,.,.,.,m,.,.,.,libm,alpha
nextafter(),m,m,m,m,.,m,.,m,.,libm,alpha
nexttowardf(),m,m,.,.,.,m,.,.,.,libm,.
nexttowardl(),m,m,.,.,.,m,.,.,.,libm,.
nexttoward(),m,m,.,.,.,m,.,.,.,libm,.
nftw64(),.,.,.,.,.,.,.,.,.,libc,.
nftw(),m,xsi,m,m,.,.,.,m,.,libc,.
ngettext(),.,.,.,.,.,.,.,.,.,libc,.
nice(),m,xsi,m,m,.,.,.,m,m,libc,m
nl_langinfo(),m,xsi,m,m,.,.,.,m,.,libc,m
_nl_msg_cat_cntr,.,.,.,.,.,.,.,.,.,libc,.
nrand48(),m,xsi,m,m,.,.,.,m,.,libc,m
ntohl(),m,m,m,m,.,.,.,.,m,libc,.
ntohs(),m,m,m,m,.,.,.,.,m,libc,.
_obstack_begin(),.,.,.,.,.,.,.,.,.,libc,.
obstack_free(),.,.,.,.,.,.,.,.,.,libc,.
_obstack_newchunk(),.,.,.,.,.,.,.,.,.,libc,.
open64(),.,.,.,.,.,.,.,.,.,libc,.
opendir(),m,m,m,m,m,.,.,m,m,libc,m
openlog(),m,xsi,m,m,.,.,.,.,m,libc,.
open(),m,m,m,m,m,.,.,m,m,libc,m
optarg,m,m,m,m,m,.,.,m,m,libc,.
opterr,m,m,m,m,m,.,.,m,m,libc,.
optind,m,m,m,m,m,.,.,m,m,libc,.
optopt,m,m,m,m,m,.,.,m,m,libc,.
pam_acct_mgmt(),.,.,.,.,.,.,.,.,.,libpam,.
pam_authenticate(),.,.,.,.,.,.,.,.,.,libpam,.
pam_chauthtok(),.,.,.,.,.,.,.,.,.,libpam,.
pam_close_session(),.,.,.,.,.,.,.,.,.,libpam,.
pam_end(),.,.,.,.,.,.,.,.,.,libpam,.
pam_fail_delay(),.,.,.,.,.,.,.,.,.,libpam,.
pam_getenvlist(),.,.,.,.,.,.,.,.,.,libpam,.
pam_get_item(),.,.,.,.,.,.,.,.,.,libpam,.
pam_open_session(),.,.,.,.,.,.,.,.,.,libpam,.
pam_setcred(),.,.,.,.,.,.,.,.,.,libpam,.
pam_set_item(),.,.,.,.,.,.,.,.,.,libpam,.
pam_start(),.,.,.,.,.,.,.,.,.,libpam,.
pam_strerror(),.,.,.,.,.,.,.,.,.,libpam,.
pathconf(),m,m,m,m,m,.,.,m,.,libc,m
pause(),m,m,m,m,m,.,.,m,m,libc,m
pclose(),m,m,m,m,m,.,.,m,m,libc,m
perror(),m,m,m,m,m,m,m,m,m,libc,m
pipe(),m,m,m,m,m,.,.,m,m,libc,m
poll(),m,xsi,m,m,.,.,.,m,.,libc,m
popen(),m,m,m,m,m,.,.,m,m,libc,m
posix_fadvise(),o,adv,.,.,.,.,.,.,.,.,.
posix_fallocate(),o,adv,.,.,.,.,.,.,.,.,.
posix_madvise(),o,adv,.,.,.,.,.,.,.,.,.
posix_memalign(),o,adv,.,.,.,.,.,.,.,libc,.
posix_mem_offset(),o,tym,.,.,.,.,.,.,.,.,.
posix_openpt(),m,xsi,.,.,.,.,.,.,.,.,.
posix_spawnattr_destroy(),o,spn,.,.,.,.,.,.,.,.,.
posix_spawnattr_getflags(),o,spn,.,.,.,.,.,.,.,.,.
posix_spawnattr_getpgroup(),o,spn,.,.,.,.,.,.,.,.,.
posix_spawnattr_getschedparam(),o,spn ps,.,.,.,.,.,.,.,.,.
posix_spawnattr_getschedpolicy(),o,spn ps,.,.,.,.,.,.,.,.,.
posix_spawnattr_getsigdefault(),o,spn,.,.,.,.,.,.,.,.,.
posix_spawnattr_getsigmask(),o,spn,.,.,.,.,.,.,.,.,.
posix_spawnattr_init(),o,spn,.,.,.,.,.,.,.,.,.
posix_spawnattr_setflags(),o,spn,.,.,.,.,.,.,.,.,.
posix_spawnattr_setpgroup(),o,spn,.,.,.,.,.,.,.,.,.
posix_spawnattr_setschedparam(),o,spn ps,.,.,.,.,.,.,.,.,.
posix_spawnattr_setschedpolicy(),o,spn ps,.,.,.,.,.,.,.,.,.
posix_spawnattr_setsigdefault(),o,spn,.,.,.,.,.,.,.,.,.
posix_spawnattr_setsigmask(),o,spn,.,.,.,.,.,.,.,.,.
posix_spawn_file_actions_addclose(),o,spn,.,.,.,.,.,.,.,.,.
posix_spawn_file_actions_adddup2(),o,spn,.,.,.,.,.,.,.,.,.
posix_spawn_file_actions_addopen(),o,spn,.,.,.,.,.,.,.,.,.
posix_spawn_file_actions_destroy(),o,spn,.,.,.,.,.,.,.,.,.
posix_spawn_file_actions_init(),o,spn,.,.,.,.,.,.,.,.,.
posix_spawn(),o,spn,.,.,.,.,.,.,.,.,.
posix_spawnp(),o,spn,.,.,.,.,.,.,.,.,.
posix_trace_attr_destroy(),o,trc,.,.,.,.,.,.,.,.,.
posix_trace_attr_getclockres(),o,trc,.,.,.,.,.,.,.,.,.
posix_trace_attr_getcreatetime(),o,trc,.,.,.,.,.,.,.,.,.
posix_trace_attr_getgenversion(),o,trc,.,.,.,.,.,.,.,.,.
posix_trace_attr_getinherited(),o,trc tri,.,.,.,.,.,.,.,.,.
posix_trace_attr_getlogfullpolicy(),o,trc trl,.,.,.,.,.,.,.,.,.
posix_trace_attr_getlogsize(),o,trc trl,.,.,.,.,.,.,.,.,.
posix_trace_attr_getmaxdatasize(),o,trc,.,.,.,.,.,.,.,.,.
posix_trace_attr_getmaxsystemeventsize(),o,trc,.,.,.,.,.,.,.,.,.
posix_trace_attr_getmaxusereventsize(),o,trc,.,.,.,.,.,.,.,.,.
posix_trace_attr_getname(),o,trc,.,.,.,.,.,.,.,.,.
posix_trace_attr_getstreamfullpolicy(),o,trc,.,.,.,.,.,.,.,.,.
posix_trace_attr_getstreamsize(),o,trc,.,.,.,.,.,.,.,.,.
posix_trace_attr_init(),o,trc,.,.,.,.,.,.,.,.,.
posix_trace_attr_setinherited(),o,trc tri,.,.,.,.,.,.,.,.,.
posix_trace_attr_setlogfullpolicy(),o,trc trl,.,.,.,.,.,.,.,.,.
posix_trace_attr_setlogsize(),o,trc trl,.,.,.,.,.,.,.,.,.
posix_trace_attr_setmaxdatasize(),o,trc,.,.,.,.,.,.,.,.,.
posix_trace_attr_setname(),o,trc,.,.,.,.,.,.,.,.,.
posix_trace_attr_setstreamfullpolicy(),o,trc,.,.,.,.,.,.,.,.,.
posix_trace_attr_setstreamsize(),o,trc,.,.,.,.,.,.,.,.,.
posix_trace_clear(),o,trc,.,.,.,.,.,.,.,.,.
posix_trace_close(),o,trc trl,.,.,.,.,.,.,.,.,.
posix_trace_create(),o,trc,.,.,.,.,.,.,.,.,.
posix_trace_create_withlog(),o,trc trl,.,.,.,.,.,.,.,.,.
posix_trace_eventid_equal(),o,trc,.,.,.,.,.,.,.,.,.
posix_trace_eventid_get_name(),o,trc,.,.,.,.,.,.,.,.,.
posix_trace_eventid_open(),o,trc,.,.,.,.,.,.,.,.,.
posix_trace_event(),o,trc,.,.,.,.,.,.,.,.,.
posix_trace_eventset_add(),o,trc tef,.,.,.,.,.,.,.,.,.
posix_trace_eventset_del(),o,trc tef,.,.,.,.,.,.,.,.,.
posix_trace_eventset_empty(),o,trc tef,.,.,.,.,.,.,.,.,.
posix_trace_eventset_fill(),o,trc tef,.,.,.,.,.,.,.,.,.
posix_trace_eventset_ismember(),o,trc tef,.,.,.,.,.,.,.,.,.
posix_trace_eventtypelist_getnext_id(),o,trc,.,.,.,.,.,.,.,.,.
posix_trace_eventtypelist_rewind(),o,trc,.,.,.,.,.,.,.,.,.
posix_trace_flush(),o,trc trl,.,.,.,.,.,.,.,.,.
posix_trace_get_attr(),o,trc,.,.,.,.,.,.,.,.,.
posix_trace_get_filter(),o,trc tef,.,.,.,.,.,.,.,.,.
posix_trace_getnext_event(),o,trc,.,.,.,.,.,.,.,.,.
posix_trace_get_status(),o,trc,.,.,.,.,.,.,.,.,.
posix_trace_open(),o,trc trl,.,.,.,.,.,.,.,.,.
posix_trace_rewind(),o,trc trl,.,.,.,.,.,.,.,.,.
posix_trace_set_filter(),o,trc tef,.,.,.,.,.,.,.,.,.
posix_trace_shutdown(),o,trc,.,.,.,.,.,.,.,.,.
posix_trace_start(),o,trc,.,.,.,.,.,.,.,.,.
posix_trace_stop(),o,trc,.,.,.,.,.,.,.,.,.
posix_trace_timedgetnext_event(),o,trc tmo,.,.,.,.,.,.,.,.,.
posix_trace_trid_eventid_open(),o,trc tef,.,.,.,.,.,.,.,.,.
posix_trace_trygetnext_event(),o,trc,.,.,.,.,.,.,.,.,.
posix_typed_mem_get_info(),o,tym,.,.,.,.,.,.,.,.,.
posix_typed_mem_open(),o,tym,.,.,.,.,.,.,.,.,.
pow10f(),.,.,.,.,.,.,.,.,.,libm,.
pow10(),.,.,.,.,.,.,.,.,.,libm,.
pow10l(),.,.,.,.,.,.,.,.,.,libm,.
powf(),m,m,.,.,.,m,.,.,.,libm,alpha
powl(),m,m,.,.,.,m,.,.,.,libm,alpha
pow(),m,m,m,m,m,m,m,m,m,libm,m
pread64(),.,.,.,.,.,.,.,.,.,libc,.
pread(),m,xsi,m,.,.,.,.,.,.,libc,alpha
printf(),m,m,m,m,m,m,m,m,m,libc,m
pselect(),m,m,.,.,.,.,.,.,.,.,.
psignal(),.,.,.,.,.,.,.,.,.,libc,.
pthread_atfork(),m,thr,m,.,t,.,.,.,.,.,.
pthread_attr_destroy(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_attr_getdetachstate(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_attr_getguardsize(),m,xsi,m,.,.,.,.,.,.,libpthread,m
pthread_attr_getinheritsched(),o,thr tps,o,.,t,.,.,.,.,libpthread,m
pthread_attr_getschedparam(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_attr_getschedpolicy(),o,thr tps,o,.,t,.,.,.,.,libpthread,m
pthread_attr_getscope(),o,thr tps,o,.,t,.,.,.,.,libpthread,m
pthread_attr_getstackaddr(),m,thr tsa,m,.,t,.,.,.,.,libpthread,m
pthread_attr_getstack(),m,thr tsa tss,.,.,.,.,.,.,.,.,.
pthread_attr_getstacksize(),m,thr tss,m,.,t,.,.,.,.,libpthread,m
pthread_attr_init(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_attr_setdetachstate(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_attr_setguardsize(),m,xsi,m,.,.,.,.,.,.,libpthread,m
pthread_attr_setinheritsched(),o,thr tps,o,.,t,.,.,.,.,libpthread,m
pthread_attr_setschedparam(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_attr_setschedpolicy(),o,thr tps,o,.,t,.,.,.,.,libpthread,m
pthread_attr_setscope(),o,thr tps,o,.,t,.,.,.,.,libpthread,m
pthread_attr_setstackaddr(),m,thr tsa,m,.,t,.,.,.,.,libpthread,m
pthread_attr_setstack(),m,thr tsa tss,.,.,.,.,.,.,.,.,.
pthread_attr_setstacksize(),m,thr tss,m,.,t,.,.,.,.,libpthread,m
pthread_barrierattr_destroy(),o,thr bar,.,.,.,.,.,.,.,.,.
pthread_barrierattr_getpshared(),o,thr bar tsh,.,.,.,.,.,.,.,.,.
pthread_barrierattr_init(),o,thr bar,.,.,.,.,.,.,.,.,.
pthread_barrierattr_setpshared(),o,thr bar tsh,.,.,.,.,.,.,.,.,.
pthread_barrier_destroy(),o,thr bar,.,.,.,.,.,.,.,.,.
pthread_barrier_init(),o,thr bar,.,.,.,.,.,.,.,.,.
pthread_barrier_wait(),o,thr bar,.,.,.,.,.,.,.,.,.
pthread_cancel(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_cleanup_pop(),m,thr,m,.,t,.,.,.,.,.,m
pthread_cleanup_push(),m,thr,m,.,t,.,.,.,.,.,m
pthread_condattr_destroy(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_condattr_getclock(),o,thr cs,.,.,.,.,.,.,.,.,.
pthread_condattr_getpshared(),m,thr tsh,m,.,t,.,.,.,.,.,.
pthread_condattr_init(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_condattr_setclock(),o,thr cs,.,.,.,.,.,.,.,.,.
pthread_condattr_setpshared(),m,thr tsh,m,.,t,.,.,.,.,.,.
pthread_cond_broadcast(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_cond_destroy(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_cond_init(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_cond_signal(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_cond_timedwait(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_cond_wait(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_create(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_detach(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_equal(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_exit(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_getconcurrency(),m,xsi,m,.,.,.,.,.,.,.,m
pthread_getcpuclockid(),o,thr tct,.,.,.,.,.,.,.,.,.
pthread_getschedparam(),o,thr tps,o,.,t,.,.,.,.,libpthread,m
pthread_getspecific(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_join(),m,thr,m,.,t,.,.,.,.,libpthread,m
pthread_key_create(),m,thr,m,.,t,.,.,.,.,libpthread,m
